         130222 function calls (122138 primitive calls) in 0.077 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 base.py:964(get_helper_class)
        3    0.000    0.000    0.000    0.000 base.py:972(_make_helper)
        3    0.000    0.000    0.000    0.000 base.py:976(make_helper)
        1    0.000    0.000    0.000    0.000 boxing.py:120(box_none)
        5    0.000    0.000    0.000    0.000 builder.py:147(wrapped)
       44    0.000    0.000    0.000    0.000 builder.py:160(_label_suffix)
        3    0.000    0.000    0.000    0.000 builder.py:177(__init__)
       19    0.000    0.000    0.000    0.000 builder.py:18(wrapped)
      690    0.000    0.000    0.000    0.000 builder.py:182(block)
       97    0.000    0.000    0.000    0.000 builder.py:191(function)
        7    0.000    0.000    0.000    0.000 builder.py:198(module)
        3    0.000    0.000    0.000    0.000 builder.py:205(position_before)
      118    0.000    0.000    0.000    0.000 builder.py:228(position_at_end)
       45    0.000    0.000    0.000    0.000 builder.py:235(append_basic_block)
       70    0.000    0.000    0.000    0.000 builder.py:242(goto_block)
       68    0.000    0.000    0.000    0.000 builder.py:259(goto_entry_block)
       46    0.000    0.000    0.000    0.000 builder.py:268(_branch_helper)
       38    0.000    0.000    0.001    0.000 builder.py:275(if_then)
        4    0.000    0.000    0.000    0.000 builder.py:298(if_else)
      395    0.000    0.000    0.000    0.000 builder.py:329(_insert)
       54    0.000    0.000    0.000    0.000 builder.py:335(_set_terminator)
        6    0.000    0.000    0.000    0.000 builder.py:517(not_)
        1    0.000    0.000    0.000    0.000 builder.py:528(neg)
       33    0.000    0.000    0.000    0.000 builder.py:539(_icmp)
       24    0.000    0.000    0.000    0.000 builder.py:550(icmp_signed)
        9    0.000    0.000    0.000    0.000 builder.py:559(icmp_unsigned)
        6    0.000    0.000    0.000    0.000 builder.py:600(select)
       34    0.000    0.000    0.000    0.000 builder.py:708(alloca)
       78    0.000    0.000    0.001    0.000 builder.py:726(load)
       99    0.000    0.000    0.001    0.000 builder.py:739(store)
       21    0.000    0.000    0.000    0.000 builder.py:796(branch)
       22    0.000    0.000    0.000    0.000 builder.py:804(cbranch)
       11    0.000    0.000    0.000    0.000 builder.py:828(ret)
       23    0.000    0.000    0.000    0.000 builder.py:845(call)
       20    0.000    0.000    0.000    0.000 builder.py:888(gep)
       24    0.000    0.000    0.000    0.000 builder.py:933(extract_value)
        2    0.000    0.000    0.000    0.000 builtins.py:109(generic)
        2    0.000    0.000    0.000    0.000 builtins.py:301(constant_dummy)
        2    0.000    0.000    0.000    0.000 builtins.py:98(generic)
       21    0.000    0.000    0.000    0.000 bytecode.py:120(_unpack_opargs)
       22    0.000    0.000    0.000    0.000 bytecode.py:148(_patched_opargs)
        1    0.000    0.000    0.000    0.000 bytecode.py:164(__init__)
        1    0.000    0.000    0.000    0.000 bytecode.py:168(__iter__)
       22    0.000    0.000    0.000    0.000 bytecode.py:171(_fetch_opcode)
       22    0.000    0.000    0.000    0.000 bytecode.py:174(next)
        1    0.000    0.000    0.000    0.000 bytecode.py:196(__init__)
        4    0.000    0.000    0.000    0.000 bytecode.py:199(<genexpr>)
        1    0.000    0.000    0.000    0.000 bytecode.py:215(_compute_lineno)
        1    0.000    0.000    0.000    0.000 bytecode.py:23(get_function_object)
        1    0.000    0.000    0.000    0.000 bytecode.py:234(__iter__)
       46    0.000    0.000    0.000    0.000 bytecode.py:237(__getitem__)
        1    0.000    0.000    0.000    0.000 bytecode.py:301(from_function)
        1    0.000    0.000    0.000    0.000 bytecode.py:35(get_code_object)
       21    0.000    0.000    0.000    0.000 bytecode.py:72(__init__)
       22    0.000    0.000    0.000    0.000 bytecode.py:80(is_jump)
        6    0.000    0.000    0.000    0.000 bytecode.py:88(get_jump_target)
        1    0.000    0.000    0.000    0.000 caching.py:96(load_overload)
