218108028.93219793
         329067 function calls (310694 primitive calls) in 0.734 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       61    0.000    0.000    0.000    0.000 __init__.py:420(<genexpr>)
       61    0.000    0.000    0.000    0.000 __init__.py:422(<genexpr>)
        9    0.000    0.000    0.000    0.000 __init__.py:47(create_string_buffer)
       26    0.000    0.000    0.000    0.000 __init__.py:484(cast)
        3    0.000    0.000    0.000    0.000 __init__.py:488(string_at)
       10    0.000    0.000    0.000    0.000 __init__.py:517(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:537(__missing__)
       10    0.000    0.000    0.000    0.000 __init__.py:586(update)
        1    0.000    0.000    0.000    0.000 __init__.py:647(iter_entry_points)
        1    0.000    0.000    0.044    0.044 __init__.py:655(<genexpr>)
      137    0.000    0.000    0.000    0.000 __init__.py:669(__iter__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:252(__subclasshook__)
       12    0.000    0.000    0.000    0.000 _collections_abc.py:302(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:672(keys)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:676(items)
        9    0.000    0.000    0.000    0.000 _collections_abc.py:698(__init__)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:701(__len__)
       12    0.000    0.000    0.000    0.000 _collections_abc.py:719(__iter__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
      108    0.000    0.000    0.000    0.000 _collections_abc.py:742(__iter__)
        7    0.000    0.000    0.000    0.000 _collections_abc.py:879(__iter__)
        1    0.000    0.000    0.000    0.000 _decomp_ldl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _decomp_polar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _decomp_qz.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _expm_frechet.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _index.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _index.py:30(IndexMixin)
        1    0.000    0.000    0.000    0.000 _laplacian.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _matfuncs_sqrtm.py:22(SqrtmError)
        1    0.000    0.000    0.000    0.000 _matfuncs_sqrtm.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _matrix_io.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _numpy_compat.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _procrustes.py:4(<module>)
        1    0.000    0.000    0.105    0.105 _sketches.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _solvers.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _testutils.py:26(__init__)
        1    0.000    0.000    0.001    0.001 _util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _util.py:139(DeprecatedImport)
        2    0.000    0.000    0.000    0.000 _util.py:157(__init__)
        1    0.000    0.000    0.000    0.000 _util.py:350(MapWrapper)
     2930    0.000    0.000    0.000    0.000 _utils.py:13(is_used)
     1645    0.001    0.000    0.003    0.000 _utils.py:16(register)
     1541    0.001    0.000    0.002    0.000 _utils.py:24(deduplicate)
3784/1614    0.001    0.000    0.010    0.000 _utils.py:44(__str__)
2726/2720    0.001    0.000    0.002    0.000 _utils.py:54(get_reference)
